     529, 0.000000E+00, 0.000000E+00, 0.000000E+00
     630, 0.000000E+00, 0.000000E+00, 0.000000E+00
     730,-0.142977E+00, 0.242469E+00,-0.187146E-01
    1081, 0.191538E+00,-0.245066E+01, 0.160906E-01
    1111, 0.922223E+00,-0.706914E+01, 0.132841E-01
    1159,-0.679503E+00, 0.443660E+01, 0.110888E-01
    1345, 0.561701E+00,-0.583841E+01,-0.874424E-02
    1375, 0.179297E+01,-0.135216E+02,-0.100775E-01
    1423,-0.105414E+01, 0.720645E+01, 0.209300E-01
    1635, 0.798288E+00,-0.763737E+01,-0.190966E+00
    1669, 0.121251E+01,-0.914950E+01,-0.617893E-02
    1717,-0.121643E+01, 0.831498E+01, 0.826324E-01
    2803, 0.100333E+01,-0.671259E+01,-0.689640E+00
    2900, 0.240048E+00,-0.188048E+01, 0.177996E+00
    2967,-0.993123E+00, 0.668675E+01, 0.188954E+00
    3611, 0.686062E+00,-0.306997E+01, 0.151048E+00
    3641, 0.360760E+00,-0.277972E+01, 0.228733E+00
    3689,-0.413591E+00, 0.239434E+01, 0.270149E+00
    3885, 0.606543E-01, 0.137886E+01, 0.353098E+00
    3915, 0.323318E+00,-0.249713E+01, 0.351060E+00
    3963, 0.203698E+00,-0.211205E+01, 0.358064E+00
    4360,-0.862184E+00, 0.733819E+01, 0.464555E+00
    4459,-0.529894E+00, 0.395340E+01, 0.473208E+00
    4543, 0.926418E+00,-0.715667E+01, 0.460270E+00
    4875,-0.116241E+01, 0.883359E+01, 0.482538E+00
    4942,-0.235255E+01, 0.175529E+02, 0.502083E+00
    4990, 0.134109E+01,-0.979865E+01, 0.467737E+00
    5053,-0.105938E+01, 0.728438E+01, 0.498253E+00
    5248,-0.251947E+01, 0.186991E+02, 0.467763E+00
    5296, 0.143929E+01,-0.100562E+02, 0.396412E+00
    5803,-0.710549E+00, 0.393089E+01, 0.717003E+00
    5971,-0.435595E+00, 0.320179E+01, 0.248167E+00
    6227, 0.113756E+01,-0.740626E+01, 0.202626E+00
    6633, 0.909288E-01,-0.684504E+00, 0.101908E+00
    6681,-0.379061E+00, 0.122901E+01, 0.328457E+00
    6725, 0.000000E+00, 0.000000E+00, 0.000000E+00
    6840, 0.704490E+00,-0.404662E+01, 0.110527E+00
    6858, 0.214259E+00,-0.201174E+00, 0.328317E-03
    6926, 0.000000E+00, 0.000000E+00, 0.000000E+00
