     529, 0.000000E+00, 0.000000E+00, 0.000000E+00
     630, 0.000000E+00, 0.000000E+00, 0.000000E+00
     730, 0.453299E-01,-0.125949E+00, 0.706803E-03
    1081, 0.925172E-02,-0.281354E+00,-0.629930E-02
    1111, 0.434962E+00,-0.325582E+01,-0.913865E-02
    1159, 0.740412E+00,-0.544990E+01,-0.147883E-01
    1345, 0.429526E-01,-0.673924E+00,-0.168095E-01
    1375, 0.959536E+00,-0.717116E+01,-0.192990E-01
    1423, 0.122221E+01,-0.915023E+01,-0.143958E-01
    1635, 0.562145E-01,-0.817987E+00,-0.596786E-01
    1669, 0.105237E+01,-0.786761E+01,-0.260167E-01
    1717, 0.148778E+01,-0.112283E+02,-0.114730E-02
    2803, 0.756089E-01,-0.542518E+00,-0.206046E+00
    2900, 0.736555E+00,-0.555663E+01, 0.165811E-02
    2967, 0.131172E+01,-0.989062E+01, 0.212316E-01
    3611, 0.178826E-01, 0.184333E+00,-0.401310E-01
    3641, 0.306984E+00,-0.237457E+01,-0.924757E-02
    3689, 0.597337E+00,-0.449700E+01, 0.731675E-02
    3885,-0.941684E-01, 0.900849E+00,-0.342104E-02
    3915,-0.190080E+00, 0.134915E+01,-0.457142E-02
    3963,-0.187151E+00, 0.138019E+01, 0.233623E-03
    4360,-0.224616E+00, 0.170330E+01, 0.154701E-02
    4459,-0.788348E+00, 0.586383E+01, 0.195258E-02
    4543,-0.111079E+01, 0.831081E+01, 0.780645E-03
    4875,-0.242945E+00, 0.170920E+01, 0.875021E-03
    4942,-0.136718E+01, 0.102154E+02, 0.793612E-03
    4990,-0.154830E+01, 0.115922E+02,-0.950433E-03
    5053,-0.201424E+00, 0.123712E+01,-0.331617E-02
    5248,-0.142577E+01, 0.106469E+02,-0.478316E-02
    5296,-0.160364E+01, 0.119861E+02,-0.653085E-02
    5803,-0.120788E+00, 0.559207E+00,-0.406212E-01
    5971,-0.768359E+00, 0.569868E+01, 0.110461E-02
    6227,-0.124019E+01, 0.917806E+01,-0.218469E-01
    6633,-0.238956E+00, 0.176257E+01,-0.635541E-02
    6681,-0.332394E-01, 0.118041E+00,-0.297513E-01
    6725, 0.000000E+00, 0.000000E+00, 0.000000E+00
    6840,-0.685011E+00, 0.491855E+01,-0.159812E-01
    6858,-0.638102E-01, 0.143700E+00, 0.424910E-02
    6926, 0.000000E+00, 0.000000E+00, 0.000000E+00
